Band Name,Band Name City,Band Name State,Band Name Country,Origin City,Origin State,Origin Country,URL
Aberdeen,"Aberdeen, UK",,UK,Palm Desert,CA,USA,http://en.wikipedia.org/wiki/Aberdeen_%28band%29
Aberfeldy,"Aberfeldy, UK",,UK,Edinburgh,,Scottland,http://en.wikipedia.org/wiki/Aberfeldy_%28band%29
Alabama,,AL,USA,Fort Payne,AL,USA,http://en.wikipedia.org/wiki/Alabama_%28band%29
Alabama 3,,AL,USA,"Brixton, London",,England,http://en.wikipedia.org/wiki/Alabama_3
Alaska,,AK,USA,Mexico City,,Mexico,http://en.wikipedia.org/wiki/Alaska_(singer)
Alaska!,,AK,USA,,,USA,http://en.wikipedia.org/wiki/Alaska%21
Alcatrazz,,CA,USA,Los Angeles,CA,USA,http://en.wikipedia.org/wiki/Alcatrazz
America,,,USA,London,,England,http://en.wikipedia.org/wiki/America_%28band%29
Architecture in Helsinki,"Helsinki, Finland",,Finland,Melbourne,,Australia,http://en.wikipedia.org/wiki/Architecture_in_Helsinki
Asia,,,,England,,England,http://en.wikipedia.org/wiki/Asia_%28band%29
Atlanta,"Atlanta, GA, USA",GA,USA,Turtle Creek,PA,USA,http://en.wikipedia.org/wiki/Atlanta_%28band%29
Barcelona,"Barcelona, Spain",,Spain,Arlington,VA,USA,http://en.wikipedia.org/wiki/Barcelona_%28band%29
Bay City Rollers,"Bay City, MI, USA",MI,USA,Edinburgh,,Scottland,http://en.wikipedia.org/wiki/Bay_City_Rollers
Beirut,"Beirut, Lebanon",,Lebanon,Santa Fe,NM,USA,http://en.wikipedia.org/wiki/Beirut_%28band%29
Berlin,"Berlin, Germany",,Germany,Los Angeles,CA,USA,http://en.wikipedia.org/wiki/Berlin_%28band%29
Bethlehem,"Bethlehem, Palestine",,Palestine,Grevenbroich,,Germany,http://en.wikipedia.org/wiki/Bethlehem_%28German_band%29
Bobby Taylor and the Vancouvers,"Vancouver, BC, CA",BC,Canada,Detroit,MI,USA,http://en.wikipedia.org/wiki/Bobby_Taylor_and_the_Vancouvers
Brazil,,,Brazil,Muncie,IN,USA,http://en.wikipedia.org/wiki/Brazil_%28band%29
"Brighton, MA","Brighton, MA, USA",MA,USA,Chicago,IL,USA,http://www.brightonma.net/
"Brighton, MA",Brighton,MA,USA,Chicago,IL,USA,http://www.brightonma.net/
Briskeby,"Briskeby, Norway",,Norway,Oslo,,Norway,http://en.wikipedia.org/wiki/Briskeby
Bush,"Shepard's Bush, England",,England,London,,England,http://en.wikipedia.org/wiki/Bush_%28band%29
Cairo,"Cairo, Egypt",,Egypt,San Francisco,CA,USA,http://en.wikipedia.org/wiki/Cairo_%28band%29
Calexico,"Calexico, CA, USA",CA,USA,Tuscon,AZ,USA,http://en.wikipedia.org/wiki/Calexico
Canada,,,Canada,Ann Arbor,MI,USA,http://www.myspace.com/canada
Canada,,,Canada,Ann Arbor,MI,USA,http://www.myspace.com/canada
Danzig,"Danzig, Poland",,Poland,Lodi,NJ,USA,http://en.wikipedia.org/wiki/Danzig_%28band%29
"Defiance, Ohio","Defiance, OH, USA",OH,USA,Bloomington,IA,USA,http://en.wikipedia.org/wiki/Defiance%2C_Ohio_%28band%29
Delaware,,DE,USA,Drammen,,Norway,http://en.wikipedia.org/wiki/Delaware_%28band%29
Dimmu Borgir,"Dimmu Borgir, Iceland",,Iceland,Oslo,,Norway,http://en.wikipedia.org/wiki/Dimmu_Borgir
Dover,"Dover, England",,England,Madrid,,Spain,http://en.wikipedia.org/wiki/Dover_%28band%29
Dubrovniks,"Dubrovnik, Croatia",,Croatia,Sydney,,Australia,http://en.wikipedia.org/wiki/Dubrovniks
Earlimart,"Earlimart, CA, USA",CA,USA,Los Angeles,CA,USA,http://en.wikipedia.org/wiki/Earlimart_%28band%29
Egypt,,,Egypt,UK,,England,http://en.wikipedia.org/wiki/Egypt_%28band%29
Enterby,"Enterby, Antarctica",,Antarctica (?),Madrid,,Spain,http://en.wikipedia.org/wiki/Enderby_%28rock_band%29
Europe,,,,Upplands Väsby,,Sweden,
Ezo,,,Japan,Sapporo,,Japan,http://en.wikipedia.org/wiki/Ezo_%28band%29
Geneva,"Geneva, Swizerland",,Swizerland,Aberdeen,,Scottland,http://en.wikipedia.org/wiki/Geneva_%28band%29
Halifax,"Halifax, Nova Scotia, CA",Nova Scotia,Canada,Thousand Oaks,CA,USA,http://en.wikipedia.org/wiki/Halifax_%28band%29
Hedley,"Hedley, BC, CA",BC,CA,Vancouver,BC,Canada,http://en.wikipedia.org/wiki/Hedley_%28band%29
Hiroshima,"Hiroshima, Japan",,Japan,Los Angeles,CA,USA,http://en.wikipedia.org/wiki/Hiroshima_%28band%29
I'm from Barcelona,"Barcelona, Spain",,Spain,Jönköping,,Sweden,http://en.wikipedia.org/wiki/I'm_from_Barcelona
I'm from Barcelona,Barcelona,,Spain,Jönköping,,Sweden,http://en.wikipedia.org/wiki/I'm_from_Barcelona
Idaho,,ID,USA,Los Angeles,CA,USA,http://en.wikipedia.org/wiki/Idaho_%28band%29
Japan,,,Japan,London,,England,http://en.wikipedia.org/wiki/Japan_%28band%29
Jerusalem,"Jerusalem, Israel",,Israel,Gothenburg,,Sweden,http://en.wikipedia.org/wiki/Jerusalem_%28band%29
Kashmir,,,India,Frederiksberg,,Denmark,http://en.wikipedia.org/wiki/Kashmir_%28band%29
La Chicago,,IL,USA,Barcelona,,Spain,http://profile.myspace.com/index.cfm?fuseaction=user.viewprofile&friendID=80915379
Manchester Orchestra,Manchester,,England,Atlanta,GA,USA,http://www.myspace.com/manchesterorchestra
Manitoba,"Manitoba, Canada",,Canada,Dundas,Ontario,Canada,http://en.wikipedia.org/wiki/Caribou_%28musician%29
Matmatah,"Matmatah, Tunisia",,Tunisia,Brest,,France,http://en.wikipedia.org/wiki/Matmatah
Monaco,Monaco,,Monaco,Manchester,,England,http://en.wikipedia.org/wiki/Monaco_%28band%29
Mount Rushmore,,SD,USA,San Francisco,CA,USA,http://en.wikipedia.org/wiki/Mount_Rushmore_%28band%29
Nantucket,"Nantucket, MA, USA",MA,USA,Jacksonville,NC,USA,http://en.wikipedia.org/wiki/Nantucket
Nashville Pussy,"Nashville, TN, USA",TN,USA,Atlanta,GA,USA,http://www.myspace.com/nashvillepussy
Nashville Pussy,Nashville,TN,USA,Atlanta,GA,USA,http://www.myspace.com/nashvillepussy
Nazareth,"Nazareth, Israel",,Israel,Dunfermline,,Scottland,http://en.wikipedia.org/wiki/Nazareth_%28band%29
Of Montreal,"Montreal, Quebec, CA",Quebec,Canada,Athens,GA,USA,http://en.wikipedia.org/wiki/Of_Montreal
Orelans,"New Orleans, LA, USA",LA,USA,Woodstock,NY,USA,http://en.wikipedia.org/wiki/Orleans_%28band%29
Oslo,"Oslo, Norway",,Norway,Oakland,CA,USA,http://en.wikipedia.org/wiki/Oslo_%28band%29
Pantera,"Pantera, TX, USA",TX,USA,Arlington,TX,USA,http://en.wikipedia.org/wiki/Pantera
Pantera,Pantera,TX,USA,Arlington,TX,USA,http://en.wikipedia.org/wiki/Pantera
Paris,"Paris, France",,France,San Francisco,CA,USA,http://en.wikipedia.org/wiki/Paris_%28rapper%29
Paris,Paris,,France,San Francisco,CA,USA,http://en.wikipedia.org/wiki/Paris_%28rapper%29
"Paris, Texas","Paris, TX, USA",TX,USA,Madison,WI,USA,http://en.wikipedia.org/wiki/Paris%2C_Texas_%28band%29
"Paris, Texas",Paris,TX,USA,Madison,WI,USA,http://en.wikipedia.org/wiki/Paris%2C_Texas_%28band%29
Portishead,"Portishead, England",,England,Bristol,,England,http://en.wikipedia.org/wiki/Portishead
Portishead,Portishead,,England,Bristol,,England,http://en.wikipedia.org/wiki/Portishead
Rascal Flatts,"Rascal Flatts, OK, USA",OK,USA,Nashville,TN,USA,http://en.wikipedia.org/wiki/Rascal_Flatts
Rascal Flatts,Rascal Flatts,OK,USA,Nashville,TN,USA,http://en.wikipedia.org/wiki/Rascal_Flatts
Sapporo 72,"Sapporo, Japan",,Japan,Stokholm,,Sweden,http://profile.myspace.com/index.cfm?fuseaction=user.viewprofile&friendid=40242614
Sapporo 72,Sapporo,,Japan,Stokholm,,Sweden,http://profile.myspace.com/index.cfm?fuseaction=user.viewprofile&friendid=40242614
Sing Sing,,NY,USA,London,,England,http://en.wikipedia.org/wiki/Sing-Sing_%28band%29
Sing Sing,,NY,USA,London,,England,http://en.wikipedia.org/wiki/Sing-Sing_%28band%29
Sorry About Dresden,"Dresden, Germany",,Germany,Chapel Hill,NC,USA,http://en.wikipedia.org/wiki/Sorry_About_Dresden
Sorry About Dresden,Dresden,,Germany,Chapel Hill,NC,USA,http://en.wikipedia.org/wiki/Sorry_About_Dresden
Spain,,,Spain,Los Angeles,CA,USA,http://en.wikipedia.org/wiki/Spain_%28band%29
Spain,,,Spain,Los Angeles,CA,USA,http://en.wikipedia.org/wiki/Spain_%28band%29
Sparta,"Sparta, Greece",,Greece,El Paso,TX,USA,http://en.wikipedia.org/wiki/Sparta_%28band%29
Sparta,Sparta,,Greece,El Paso,TX,USA,http://en.wikipedia.org/wiki/Sparta_%28band%29
Sugar Land,"Sugar Land, TX, USA",TX,USA,Atlanta,GA,USA,http://en.wikipedia.org/wiki/Sugarland_%28band%29
Sugar Land,Sugar Land,TX,USA,Atlanta,GA,USA,http://en.wikipedia.org/wiki/Sugarland_%28band%29
Tahiti 80,,,Tahiti,Paris,,France,http://www.tahiti80.com/
Tahiti 80,,,Tahiti,Paris,,France,http://www.tahiti80.com/
Texas,,TX,USA,Glasgow,,Scottland,http://en.wikipedia.org/wiki/Texas_%28band%29
Texas,,TX,USA,Glasgow,,Scottland,http://en.wikipedia.org/wiki/Texas_%28band%29
Timbuktu,"Timbuktu, Mali",,Mali,Malmö,,Sweden,http://en.wikipedia.org/wiki/Timbuktu_%28artist%29
Timbuktu,Timbuktu,,Mali,Malmö,,Sweden,http://en.wikipedia.org/wiki/Timbuktu_%28artist%29
Tokyo Hotel,Tokyo,,Japan,Magdeburg,,Germany,http://en.wikipedia.org/wiki/Tokio_Hotel
Ulan Bator,"Ulan Bator, Mongolia",,Mongolia,Paris,,France,http://en.wikipedia.org/wiki/Ulan_Bator_%28band%29
Ulan Bator,Ulan Bator,,Mongolia,Paris,,France,http://en.wikipedia.org/wiki/Ulan_Bator_%28band%29
Valencia,"Valencia, Spain",,Spain,Philadelphia,PA,USA,http://en.wikipedia.org/wiki/Valencia_%28band%29
Valencia,Valencia,,Spain,Philadelphia,PA,USA,http://en.wikipedia.org/wiki/Valencia_%28band%29
Warsaw,"Warsaw, Poland",,Poland,Manchester,,England,http://en.wikipedia.org/wiki/Warsaw_%28band%29
Warsaw,Warsaw,,Poland,Manchester,,England,http://en.wikipedia.org/wiki/Warsaw_%28band%29
Yukon,"Yukon, Canada",,Canada,Baltimore,MD,USA,http://en.wikipedia.org/wiki/Yukon_%28band%29
Yukon,Yukon,,Canada,Baltimore,MD,USA,http://en.wikipedia.org/wiki/Yukon_%28band%29