,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",6270597,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"Lose You To Love Me","Selena Gomez",4606620,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
3,Memories,"Maroon 5",4184599,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
4,Circles,"Post Malone",4145267,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,"HIGHEST IN THE ROOM","Travis Scott",3718821,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
6,Señorita,"Shawn Mendes",3598596,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
7,"Someone You Loved","Lewis Capaldi",3232220,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
8,"Don't Start Now","Dua Lipa",3227301,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,"RITMO (Bad Boys For Life)","The Black Eyed Peas",2823536,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
10,"hot girl bummer",blackbear,2758331,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
11,"Follow God","Kanye West",2577113,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
12,China,"Anuel AA",2440244,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
13,"Ride It",Regard,2381709,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
14,"Beautiful People (feat. Khalid)","Ed Sheeran",2359679,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
15,"10,000 Hours (with Justin Bieber)","Dan + Shay",2350866,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
16,"bad guy","Billie Eilish",2316979,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
17,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2192434,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
18,"Look At Her Now","Selena Gomez",2153929,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
19,"How Do You Sleep?","Sam Smith",2124059,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
20,Lalala,Y2K,2092624,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
21,"Lights Up","Harry Styles",2024993,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
22,"I Don't Care (with Justin Bieber)","Ed Sheeran",1875389,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
23,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1853028,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
24,"Trampoline (with ZAYN)",SHAED,1850463,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
25,"Goodbyes (Feat. Young Thug)","Post Malone",1836499,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
26,Liar,"Camila Cabello",1825157,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
27,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1816124,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
28,"Adicto (with Anuel AA & Ozuna)",Tainy,1811004,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
29,Ransom,"Lil Tecca",1750364,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
30,Callaita,"Bad Bunny",1718549,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
31,"LA CANCIÓN","J Balvin",1700527,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
32,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",1697704,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
33,ROXANNE,"Arizona Zervas",1664391,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo
34,"Good As Hell (feat. Ariana Grande) - Remix",Lizzo,1661600,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
35,Panini,"Lil Nas X",1623488,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
36,"Bad To You (with Normani & Nicki Minaj)","Ariana Grande",1598867,https://open.spotify.com/track/7vJS1DPc3FzBtqBs8n3mW5
37,"No Me Conoce - Remix","Jhay Cortez",1589901,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
38,Fantasias,"Rauw Alejandro",1506175,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
39,"Old Town Road - Remix","Lil Nas X",1499041,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
40,Graveyard,Halsey,1447026,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
41,"It's You","Ali Gatie",1441783,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
42,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",1435848,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
43,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",1402929,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
44,"Si Te Vas",Sech,1389069,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
45,"Truth Hurts",Lizzo,1378341,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
46,"Que Tire Pa Lante","Daddy Yankee",1374726,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
47,"Lose Control",MEDUZA,1329733,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
48,"Yo x Ti, Tu x Mi",ROSALÍA,1321966,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
49,Takeaway,"The Chainsmokers",1295107,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
50,"223's (feat. 9lokknine)","YNW Melly",1286197,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
51,Quizas,"Rich Music LTD",1259914,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
52,Tutu,Camilo,1257995,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
53,"Stuck In A Dream (feat. Gunna)","Lil Mosey",1256553,https://open.spotify.com/track/5hDAT527wXWNBnJlujhuUs
54,"Whine Up","Nicky Jam",1213430,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
55,Shallow,"Lady Gaga",1188433,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
56,"No Guidance (feat. Drake)","Chris Brown",1166025,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
57,"Piece Of Your Heart",MEDUZA,1165761,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
58,Immortal,"21 Savage",1136640,https://open.spotify.com/track/4IO8X9W69dIQe0EC5ALXhq
59,"Money In The Grave (Drake ft. Rick Ross)",Drake,1133837,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
60,Camelot,"NLE Choppa",1130550,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
61,"Higher Love",Kygo,1118718,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
62,"Nice To Meet Ya","Niall Horan",1114556,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
63,Indeciso,Reik,1111896,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
64,Trigger,"Major Lazer",1105775,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif
65,"Soltera - Remix",Lunay,1096000,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
66,"Make It Right (feat. Lauv)",BTS,1083360,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
67,"7 rings","Ariana Grande",1067399,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
68,"Good Thing (with Kehlani)",Zedd,1050759,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
69,"Bohemian Rhapsody - Remastered 2011",Queen,1043465,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
70,"Hate Me (with Juice WRLD)","Ellie Goulding",1040164,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
71,Roller,"Apache 207",1034755,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
72,Happier,Marshmello,1032393,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
73,"Otro Trago - Remix",Sech,1023327,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
74,Aventura,Lunay,999928,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
75,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",985594,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
76,Motivation,Normani,985251,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
77,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",979378,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
78,"lovely (with Khalid)","Billie Eilish",972861,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
79,"Qué Pena",Maluma,967055,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
80,I.F.L.Y.,Bazzi,966729,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
81,Bruises,"Lewis Capaldi",960403,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
82,Believer,"Imagine Dragons",956265,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
83,Sucker,"Jonas Brothers",955528,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
84,"11 PM",Maluma,949064,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
85,"On God","Kanye West",948311,https://open.spotify.com/track/2SasoXZyv82yYgHiVOvxQn
86,"The London (feat. J. Cole & Travis Scott)","Young Thug",941728,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
87,"QUE PRETENDES","J Balvin",941548,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
88,"SICKO MODE","Travis Scott",941454,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
89,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,931110,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
90,Saint-Tropez,"Post Malone",930286,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
91,"Closed On Sunday","Kanye West",927031,https://open.spotify.com/track/3JWiDGQX2eTlFvKj3Yssj3
92,"Con Altura",ROSALÍA,923423,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
93,Wow.,"Post Malone",921981,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
94,Teeth,"5 Seconds of Summer",921364,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
95,"Que Calor (feat. J Balvin & El Alfa)","Major Lazer",908233,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
96,VIBEZ,DaBaby,907044,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
97,KARMA,Nimo,897015,https://open.spotify.com/track/6oX9RuILbVIglevEhbg8iM
98,Orphans,Coldplay,895069,https://open.spotify.com/track/6muOWhMh7Tf0UFUtMDBhUR
99,"when the party's over","Billie Eilish",894765,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
100,"rockstar (feat. 21 Savage)","Post Malone",889142,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
101,"If I Can't Have You","Shawn Mendes",883014,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
102,Feelings,Lauv,874224,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
103,"Without Me",Halsey,869585,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
104,"Post Malone (feat. RANI)","Sam Feldt",868748,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
105,"Enemies (feat. DaBaby)","Post Malone",868008,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
106,"Shape of You","Ed Sheeran",862576,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
107,"Surtada - Remix Brega Funk","Dadá Boladão",852939,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
108,Easy,"Camila Cabello",847383,https://open.spotify.com/track/46D0hYb1B7qiU33VtXt21W
109,"thank u, next","Ariana Grande",843519,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
110,"Lonely (with Jonas Brothers)",Diplo,842262,https://open.spotify.com/track/4fwo6czG5nvOQMzhOto1ya
111,"Sweet but Psycho","Ava Max",834816,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
112,VALENTINO,24kGoldn,834582,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
113,BOP,DaBaby,830017,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
114,"Lucid Dreams","Juice WRLD",829659,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
115,Selah,"Kanye West",822961,https://open.spotify.com/track/39JRmdKFka1Oe09FoOCPI4
116,"Used To Love (with Dean Lewis)","Martin Garrix",821441,https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP
117,"Harleys In Hawaii","Katy Perry",817529,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR
118,"Hot (feat. Gunna)","Young Thug",814998,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
119,"Dancing With A Stranger (with Normani)","Sam Smith",814533,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
120,F.N,"Lil Tjay",813572,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
121,goosebumps,"Travis Scott",811418,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
122,"Girls Like You (feat. Cardi B)","Maroon 5",811331,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
123,"Only Human","Jonas Brothers",810668,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
124,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,810637,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
125,"Con Calma","Daddy Yankee",809386,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
126,Outnumbered,"Dermot Kennedy",805425,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
127,"boyfriend (with Social House)","Ariana Grande",803933,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
128,Lover,"Taylor Swift",798780,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
129,Suge,DaBaby,797731,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
130,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",796324,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
131,"Hollywood's Bleeding","Post Malone",796139,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
132,"Talk (feat. Disclosure)",Khalid,794907,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
133,"3 Nights","Dominic Fike",789180,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
134,"Wieso tust Du dir das an?","Apache 207",788904,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
135,"Eastside (with Halsey & Khalid)","benny blanco",781595,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
136,"Everything We Need","Kanye West",779406,https://open.spotify.com/track/24bnCCysWnbNRNUT4LpHcP
137,"Te Quemaste","Manuel Turizo",777839,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
138,"Supera - Ao Vivo","Marília Mendonça",771448,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
139,"Gaiola É o Troco","MC Du Black",768291,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
140,"Alocao (With Bad Gyal)","Omar Montes",762405,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
141,Perfect,"Ed Sheeran",755482,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
142,"Make No Sense","YoungBoy Never Broke Again",754755,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
143,Goteo,Duki,745775,https://open.spotify.com/track/57kdZIOAaolxAjB67d2yU3
144,"Say You Won't Let Go","James Arthur",745134,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
145,"Did It Again","Lil Tecca",744460,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj
146,"Use This Gospel","Kanye West",744329,https://open.spotify.com/track/0oPOuDmmkVp3h6puekhs6P
147,"Baby (Lil Baby feat. DaBaby)","Quality Control",743299,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
148,"Better Now","Post Malone",741372,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
149,"Old Town Road","Lil Nas X",738077,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
150,SAD!,XXXTENTACION,736357,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
151,"You Need To Calm Down","Taylor Swift",733187,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
152,"Calma - Remix","Pedro Capó",732633,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
153,"Don't Stop Me Now - Remastered",Queen,732514,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
154,"One Thing Right",Marshmello,722229,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
155,"Another One Bites The Dust - Remastered 2011",Queen,712996,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
156,Youngblood,"5 Seconds of Summer",712157,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
157,"Some que ele vem atrás",Anitta,709778,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5
158,"Ballin' (feat. Roddy Ricch)",Mustard,708298,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
159,"Si Se Da - Remix","Myke Towers",707625,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
160,"Hit Contagiante","Felipe Original",703764,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
161,"Let Me Down Slowly","Alec Benjamin",700915,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
162,Thunder,"Imagine Dragons",699574,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
163,"I Like Me Better",Lauv,698972,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
164,"Good As Hell",Lizzo,698025,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
165,"Hot Shower","Chance the Rapper",695151,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
166,"MIDDLE CHILD","J. Cole",690741,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
167,"Never Really Over","Katy Perry",688786,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
168,"Behind Barz - Bonus",Drake,688206,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
169,"Be Alright","Dean Lewis",687700,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
170,"High Hopes","Panic! At The Disco",685799,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
171,comethru,"Jeremy Zucker",683259,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
172,"All I Want for Christmas Is You","Mariah Carey",682522,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
173,110,"Capital Bra",682376,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
174,Moonlight,XXXTENTACION,682123,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
175,"200 km/h","Apache 207",681838,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
176,Atrévete,"Nicky Jam",681088,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
177,"Pop Out (feat. Lil Tjay)","Polo G",679402,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
178,"Love Me More","Trippie Redd",678998,https://open.spotify.com/track/2NSWi83peog6gHerzlMCqU
179,"Cuerpo en Venta",Noriel,677383,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
180,"Otro Trago",Sech,676987,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
181,"What Am I","Why Don't We",676923,https://open.spotify.com/track/0TMGV2zMZXOILVtQLtkI3G
182,Bellaquita,Dalex,675913,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
183,"Bad Bad Bad (feat. Lil Baby)","Young Thug",675125,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
184,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",674696,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
185,"bury a friend","Billie Eilish",671694,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
186,"Under Pressure - Remastered",Queen,668638,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
187,"Get You The Moon (feat. Snøw)",Kina,665845,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
188,2002,Anne-Marie,665205,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
189,"Love Me","Lil Tecca",664023,https://open.spotify.com/track/4e0FYxSROat25pH16zMTZI
190,Instagram,"Dimitri Vegas & Like Mike",661795,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
191,"quando a bad bater - ao vivo","Luan Santana",656084,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ
192,"Te Robaré","Nicky Jam",653661,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T
193,Somebody,"Internet Money",650119,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
194,Better,Khalid,646078,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
195,"Jocelyn Flores",XXXTENTACION,645914,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
196,"Chama Ela (feat. Pedro Sampaio)",Lexa,640954,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ
197,"Cheirosa - Ao Vivo","Jorge & Mateus",636220,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
198,"Heartless (feat. Morgan Wallen)",Diplo,635259,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
199,"Playing Games (with Bryson Tiller) - Extended Version","Summer Walker",632619,https://open.spotify.com/track/2xyx0o4xNOLLjBSbOOdcbA
200,"Murder On My Mind","YNW Melly",631815,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
